ID,Content Rating,Release Year,Running Time,Rotten Tomatoes Rating
M001,PG-13,2002,92,22
M002,R,2008,101,
M003,PG-13,2006,144,38
M004,PG-13,2007,104,79
M005,PG,2006,102,
M006,PG-13,1996,102,71
M007,R,1998,120,85
M008,PG,2000,95,76
M009,PG,1996,89,64
M010,R,2000,112,42
M011,PG-13,2001,102,55
M012,PG,2001,153,47
M013,R,1999,120,69
M014,PG-13,2006,130,
M015,R,2001,131,55
M016,PG-13,2002,115,49
M017,PG-13,2008,126,
M018,PG-13,2004,117,24
M019,R,2003,91,43
M020,PG-13,2009,121,64
M021,PG-13,2000,145,78
M022,G,2005,85,2
M023,PG-13,2003,95,
M024,R,1997,135,51
M025,PG,2006,108,27
M026,R,2003,90,51
M027,G,2007,111,70
M028,PG-13,2006,118,85
M029,PG-13,2010,140,
M030,PG-13,2010,114,81
M031,PG-13,1996,113,94
M032,PG-13,2008,90,58
M033,R,2001,159,
M034,R,2009,120,24
M035,PG-13,2006,157,
M036,PG-13,2007,91,94
M037,R,1999,139,76
M038,R,1999,112,11
M039,PG,2007,108,50
M040,R,2008,106,27
M041,R,1997,155,62
M042,PG,1999,116,62
M043,R,2000,116,
M044,PG-13,2004,143,50
M045,PG-13,2001,83,20
M046,R,1999,118,
M047,R,2008,105,18
M048,G,2001,115,78
M049,R,2004,109,22
M050,R,2001,131,82
M051,PG,2000,104,7
M052,PG,2005,83,29
M053,R,1996,121,88
M054,R,1996,115,50
M055,R,2003,152,73
M056,PG-13,1996,105,39
M057,R,1997,154,50
M058,PG-13,1997,119,34
M059,R,1998,86,92
M060,R,1998,166,64
M061,PG-13,1998,110,38
M062,PG-13,2003,138,
M063,R,2006,136,82
M064,PG-13,2002,91,
M065,R,2001,123,92
M066,R,2009,98,95
M067,PG,2002,81,
M068,PG-13,2004,119,78
M069,R,2000,94,24
M070,PG-13,2007,110,26
M071,R,1999,116,69
M072,R,1997,152,
M073,R,1999,110,92
M074,R,2007,95,40
M075,PG-13,1997,148,43
M076,R,1996,120,17
M077,PG,2002,95,
M078,PG,2000,90,
M079,PG-13,2005,115,51
M080,R,2006,132,
M081,R,2003,113,67
M082,PG,2009,90,92
M083,PG,2004,120,40
M084,R,2003,137,83
M085,R,2001,104,
M086,R,2007,128,44
M087,PG-13,1999,96,60
M088,PG-13,2006,116,79
M089,R,2003,136,40
M090,R,2005,126,83
M091,R,2009,85,24
M092,R,2002,125,
M093,R,2001,111,45
M094,PG,2002,78,42
M095,PG-13,2005,113,9
M096,PG-13,2002,117,95
M097,R,2008,109,19
M098,PG-13,1996,110,16
M099,PG,1996,90,
M100,PG,2002,86,82
M101,R,1999,111,12
M102,PG,2000,90,82
M103,PG,2001,95,
M104,PG,2003,98,47
M105,R,2007,120,78
M106,R,2001,126,59
M107,PG-13,2004,94,88
M108,PG-13,2000,104,73
M109,R,1999,103,30
M110,PG-13,2000,123,75
M111,G,1999,88,
M112,PG,1996,87,77
M113,PG,2003,105,85
M114,PG-13,2004,101,55
M115,PG-13,2001,91,10
M116,PG-13,2005,118,22
M117,R,2001,110,71
M118,PG-13,2008,84,79
M119,PG,2004,92,77
M120,PG-13,1996,117,84
M121,G,1998,96,81
M122,PG-13,1998,114,
M123,R,2000,110,61
M124,R,1999,103,
M125,R,1998,127,
M126,R,1999,95,53
M127,PG-13,2007,138,89
M128,R,1997,177,76
M129,R,1997,95,60
M130,PG-13,2002,115,81
M131,PG-13,2003,133,39
M132,PG-13,2008,120,60
M133,R,1999,120,22
M134,PG-13,2005,113,11
M135,R,2005,122,
M136,PG-13,2002,113,65
M137,PG-13,2007,167,50
M138,R,2004,129,
M139,R,2004,127,10
M140,PG-13,2005,101,
M141,R,2001,99,63
M142,PG-13,2006,95,79
M143,PG,1998,97,86
M144,PG-13,2000,116,31
M145,PG-13,1997,135,27
M146,PG-13,2002,95,68
M147,PG-13,1998,150,
M148,R,1996,107,89
M149,PG-13,2001,89,81
M150,PG-13,2000,103,
M151,R,2008,98,30
M152,R,2009,152,
M153,PG-13,2004,124,
M154,PG-13,1999,112,67
M155,R,1999,136,78
M156,PG-13,1998,136,74
M157,PG,2007,90,
M158,R,1998,119,74
M159,PG-13,2000,93,66
M160,R,2004,118,63
M161,PG-13,1997,130,
M162,PG-13,1996,115,38
M163,R,2009,108,98
M164,PG-13,1999,125,53
M165,R,1996,105,2
M166,R,1999,142,5
M167,R,2002,96,36
M168,PG-13,2001,91,
M169,PG,1998,102,30
M170,R,1996,108,
M171,R,1997,105,58
M172,R,1997,120,
M173,PG-13,2009,107,75
M174,PG,2005,115,
M175,PG-13,1999,137,89
M176,PG-13,2007,86,53
M177,PG-13,1996,95,
M178,PG-13,1998,112,
M179,PG-13,2003,116,77
M180,R,2000,118,85
M181,PG-13,2004,97,73
M182,PG-13,1997,92,32
M183,R,1999,123,71
M184,R,2003,139,28
M185,PG-13,2005,95,70
M186,PG-13,2009,104,95
M187,R,1996,111,
M188,R,2009,93,92
M189,R,1998,102,92
M190,R,2002,96,46
M191,PG-13,2005,135,17
M192,PG-13,1998,120,
M193,PG-13,2005,119,
M194,PG,2007,92,3
M195,G,2001,95,70
M196,PG,1999,86,25
M197,R,2000,111,57
M198,PG-13,2009,99,30
M199,PG,1999,132,80
M200,R,1998,127,
M201,R,2005,96,96
M202,PG-13,2001,87,84
M203,PG,2004,82,84
M204,R,2004,97,17
M205,PG-13,2005,157,47
M206,R,1997,129,78
M207,R,1997,137,31
M208,R,2001,100,
M209,G,1996,94,62
M210,R,1999,95,
M211,PG-13,2001,107,44
M212,PG-13,2006,101,69
M213,R,2000,88,97
M214,R,2003,102,37
M215,R,2000,98,23
M216,R,2000,119,88
M217,R,2007,108,99
M218,PG-13,2002,101,51
M219,R,2004,104,48
M220,PG,2001,98,
M221,R,1997,152,82
M222,PG-13,2003,100,61
M223,R,2002,118,
M224,PG-13,2004,119,86
M225,G,2006,98,
M226,PG-13,2006,131,82
M227,PG-13,2005,80,55
M228,PG-13,2000,122,24
M229,PG-13,2002,106,
M230,PG-13,2004,128,16
M231,PG-13,2002,103,
M232,PG-13,1998,98,54
M233,PG-13,2002,121,
M234,PG-13,2003,110,
M235,R,2002,112,38
M236,PG-13,2000,144,8
M237,R,1997,120,12
M238,R,2003,138,74
M239,R,1997,115,45
M240,PG,2000,95,
M241,PG-13,2000,107,54
M242,G,1998,75,53
M243,R,2006,136,42
M244,R,2007,117,
M245,PG,2006,124,30
M246,PG-13,2003,107,86
M247,PG,1998,110,33
M248,PG-13,2006,112,59
M249,R,1999,159,69
M250,PG-13,2007,100,53
