ID,Production Budget,Worldwide Gross
M071,60000000,150000000
M136,30000000,308000000
M223,46000000,114000000
M053,70000000,309000000
M220,,
M142,20000000,38164784
M194,55000000,361000000
M113,25000000,35990505
M045,22000000,55762229
M128,80000000,17650704
M076,,
M157,35000000,70799818
M241,15000000,35007180
M207,35000000,111000000
M137,300000000,961000000
M125,30000000,26708196
M058,110000000,340000000
M089,,
M213,19000000,277000000
M047,65000000,72516819
M119,70000000,920000000
M062,135000000,209000000
M180,,
M031,45000000,58617334
M064,60000000,165000000
M249,65000000,86257553
M160,50000000,34806726
M102,58000000,59431365
M152,70000000,320000000
M120,45000000,20133326
M216,50000000,39778599
M019,,
M026,28000000,90231264
M218,27000000,130000000
M090,40000000,159000000
M004,20000000,118000000
M011,80000000,98341932
M212,14000000,5699773
M185,45000000,156000000
M109,32000000,89441732
M248,30000000,45235190
M182,,
M184,26000000,68293719
M093,,
M163,53000000,113000000
M228,25000000,153000000
M036,180000000,253000000
M092,30000000,106000000
M140,18000000,37048526
M198,30000000,85724728
M219,35000000,77692139
M165,45000000,75854588
M171,15000000,63706632
M044,55000000,158000000
M217,40000000,32030610
M240,7000000,35512760
M206,100000000,121000000
M087,,
M205,150000000,896000000
M086,20000000,20081987
M148,20000000,25728961
M242,80000000,69131860
M146,,
M033,109000000,84383966
M208,33000000,79958599
M246,76000000,236000000
M116,90000000,164000000
M123,24000000,27732366
M193,39000000,38514517
M060,,
M032,10000000,31487293
M121,45000000,363000000
M016,42000000,63781100
M162,80000000,159000000
M048,30000000,165000000
M025,85000000,385000000
M143,60000000,219000000
M134,82000000,190000000
M161,125000000,238000000
M080,135000000,164000000
M037,40000000,81292135
M150,43000000,62063972
M181,57000000,38329114
M158,22000000,360000000
M169,60000000,248000000
M096,70000000,69157016
M010,90000000,191000000
M056,5500000,35811509
M222,60000000,121000000
M106,90000000,143000000
M052,75000000,533000000
M046,,
M105,23000000,24489150
M069,16000000,120000000
M097,6000000,43236603
M200,,
M221,40000000,44212592
M022,30000000,186000000
M154,66000000,212000000
M020,50000000,188000000
M073,10000000,15164492
M147,,
M135,75000000,231000000
M066,21000000,10108016
M012,72000000,37306334
M145,,
M156,65000000,234000000
M155,65000000,460000000
M041,,
M192,80000000,349000000
M051,123000000,345000000
M014,75000000,155000000
M144,62000000,128000000
M130,38000000,39177215
M234,78000000,179000000
M094,120000000,166000000
M067,65000000,383000000
M030,8300000,493296
M061,40000000,71743823
M233,139000000,822000000
M151,45000000,46598133
M085,22000000,33762400
M023,19000000,56127162
M075,,
M079,,
M203,400000,46140956
M167,60000000,54994757
M035,232000000,391000000
M204,50000000,40119848
M225,82500000,144000000
M111,24000000,16304786
M013,100000000,212000000
M084,30000000,157000000
M006,21500000,22331846
M103,,
M209,25000000,36682170
M100,84000000,276000000
M095,55000000,367000000
M153,125000000,544000000
M114,,
M197,35000000,33422485
M127,150000000,938000000
M002,24000000,36851125
M250,150000000,585000000
M017,186000000,583000000
M049,2500000,32381151
M190,17000000,95092667
M021,80000000,66554547
M107,45000000,45261739
M040,30000000,32955399
M188,24000000,67348218
M199,,
M009,60000000,130000000
M227,29000000,184000000
M235,48000000,196000000
M236,85000000,427000000
M170,65000000,148000000
M201,20000000,8178569
M112,80000000,250000000
M129,25000000,41076865
M081,15000000,82719885
M029,210000000,311000000
M001,21000000,43928932
M187,40000000,20278055
M176,20000000,86858578
M191,16000000,2814566
M028,35000000,42064105
M159,48000000,90376224
M118,20000000,7013191
M226,85000000,205000000
M229,70702619,408000000
M164,135000000,362000000
M104,,
M027,150000000,620000000
M196,50000000,31333917
M232,35000000,245000000
M098,80000000,101000000
M068,,
M139,25000000,612000000
M018,30000000,61950770
M042,70000000,308000000
M231,12000000,77081642
M138,80000000,96148711
M214,29000000,98156459
M177,40000000,27682712
M141,80000000,147000000
M211,,
M003,102000000,596000000
M050,,
M168,28000000,75294136
M149,53000000,45207112
M038,13000000,32382381
M238,127000000,739000000
M131,85000000,74132631
M230,75000000,219000000
M189,,
M110,40000000,33508922
M055,,
M172,15000000,64252038
M133,32000000,16640210
M015,,
M186,80000000,120000000
M183,55000000,34105207
M007,12000000,22921898
M072,15000000,43111725
M091,15000,194000000
M224,120000000,107000000
M065,35000000,31598308
M082,100000000,140000000
M078,95000000,65700000
M024,80000000,137000000
M178,60000000,56709981
M070,120000000,238000000
M101,48000000,124000000
M247,20000000,18253415
M117,,
M175,,
M063,14000000,14763019
M108,75000000,335000000
M057,12000000,72673162
M244,48000000,69791889
M115,16000000,30987695
M245,20000000,13395961
M174,,
M077,5000000,369000000
M008,75000000,36751979
M005,35000000,46432264
M059,30000000,19035741
M239,80000000,224000000
M202,49000000,43905746
M054,46000000,101000000
M039,85000000,340000000
M043,3000000,38236338
M124,8500000,14943582
M237,24000000,101000000
M210,12000000,235000000
M074,32000000,76593167
M166,22000000,19288130
M122,30000000,81529000
M243,40000000,118000000
M126,11000000,75803716
M195,115000000,527000000
M034,29000000,10061080
M173,25000000,1190003
M099,30000000,181000000
M215,23000000,113000000
M083,110000000,72004159
M088,55000000,306000000
M179,50000000,177000000
M132,37000000,396000000
